tipologradouro_1,tipologradouro_2,logradouro_1,logradouro_2,bairro_1,bairro_2,municipio_1,municipio_2,rua,bairro
,RUA,ANTONIO GONCALVES VALIM,ANTONIO GONCALVES VALIM,VILA JAGUARI,VILA JAGUARI,SAO PAULO,SAO PAULO,1,1
AVENIDA,,SANTA MONICA,SANTA MONICA,PIRITUBA,VILA SANTA MONICA,SAO PAULO,SAO PAULO,1,0
RUA,,MONTES APALACHES,MONTES APALACHES,PERUS,PERUS,SAO PAULO,SAO PAULO,1,1
,,NARCISE CARBONEL,RUA NARCISE CARBONEL,PRQ ESPERANCA,PARQUE ESPERANCA,SAO PAULO,SAO PAULO,1,1
,,BENEDITO CALIXTO,R TEODORO SAMPAIO,PINHEIROS,PINHEIROS,SAO PAULO,SAO PAULO,0,1
,,JAGUARE,DO JAGUARE,JD JUSSARA,JARDIM JUSSARA,SAO PAULO,SAO PAULO,1,1
,,ORESTES COLOMBARE,ORESTES COLUMBARI,JARDIM CLAUDIA,JD CLAUDIA,SAO PAULO,SAO PAULO,1,1
RUA,,JACINTO DE OLIVEIRA,R JACINTO DE OLIVEIRA,JD RAPOSO TAVARES,JD RAPOSO TAVARES,SAO PAULO,SAO PAULO,1,1
,,JOAO GOMES JUNIOR,JOAO GOMES JUNIOR,JARDIM BONFIGLIOLI,JARDIM BONFIGLIOLI,SAO PAULO,SAO PAULO,1,1
,RUA,DOUTOR OSCAR MONTEIRO DE BARROS,DR OSCAR MNTEIRO DE BARROS,VILA SUZANA,VILA SUZANA,SAO PAULO,SAO PAULO,1,1
,,ANTONIO MANOEL FERNANDES,ANTONIO MANUEL FERNANDES,JARDIM IPE,JARDIM IPE,SAO PAULO,SAO PAULO,1,1
,,PAULO MONTEIRO DUARTE,VEL PAULO MONTEIRO DUARTE,JD AURELIO,JD CAPAO REDONDO,SAO PAULO,SAO PAULO,1,0
,,JOSE LOURENCO,JOSE LOURENCO,BAIRRO JAGUARIBE,JAGUARIBE,OSASCO,OSASCO,1,1
AVENIDA,CONDOMINIO,DOM PEDRO I,AV DOM PEDRO I,VILA OSASCO,VILA OSASCO,OSASCO,OSASCO,1,1
,,LAURA ALVES BARBOSA DA SILVA,LAURA ALVES BARBOSA DA SILVA,CONCEICAO,JD TERESA,OSASCO,OSASCO,1,0
RUA,RUA,JOAO XAVIER DE LIMA,JOAO XAVIER DE LIMA,VILA SILVIANIA,VILA SILVANIA,CARAPICUIBA,CARAPICUIBA,1,1
RUA,OUTROS,CANARIO,CANARIO,VILA NOVA,VL NOVA,BARUERI,BARUERI,1,1
,,MARIPORA,MAIRIPORA,PARQ STA TEREZA,PAR STA TEREZA,JANDIRA,JANDIRA,1,1
,,CAROLINA DE ABREU PAULINO,CAROLINA DE ABREU PAULINO,JD HOKKAIDO,VILA SAO FRANCISCO,ITAPEVI,ITAPEVI,1,0
RUA,OUTROS,NOVE,DA ROSELANDIA,CENTRO,PARQUE RISO 2,COTIA,COTIA,0,0
,ESTRADA,BAVIERA,DA BAVIERA,PQ DAS CHACARAS,CHACARA CAXINGUI,EMBU DAS ARTES,EMBU DAS ARTES,1,0
,,AV SETE DE SETEMBRO,SETE DE SETEMBRO,SANTA LUZIA,CHACARAS BARTIRA,EMBU DAS ARTES,EMBU DAS ARTES,1,0
AVENIDA,AVENIDA,JOSE JOAQUIM DOS SANTOS,JOSE JOAQUIM DOS SANTOS,PARQUE PARAISO,PARQUE PARAISO,ITAPECERICA DA SERRA,ITAPECERICA DA SERRA,1,1
RUA,,JOSE GOUVEIA,JOSE GOUVEIA,JD DIVINOLANDIA,JD DIVINOLANDIA,GUARULHOS,GUARULHOS,1,1
,,BOM JESUS,BOM JESUS,JD SANTA EDWIRGES,JD SANTA EDWIRGES,GUARULHOS,GUARULHOS,1,1
,,MARACAS,R MARACAS,JD PRESIDENTE DUTRA,JD PRESIDENTE DUTRA,GUARULHOS,GUARULHOS,1,1
,,AV CARMELA TOMEU,AVENIDA CARMELA THOMEU,VILA CARMELA I,V CARMELA,GUARULHOS,GUARULHOS,1,1
,,DUQUE DE CAXIAS,DUQUE DE CAXIAS,VL N SENHORA DE FAT,VILA UNIAO,GUARULHOS,GUARULHOS,1,0
,,RUA COQUEIRO SECO,COQUEIRO SECO,JARDIM DONA LUIZA,JD DONA LUIZA,GUARULHOS,GUARULHOS,1,1
AVENIDA,AVENIDA,LUIZ FELIPE FRANCA RAMOS,DOUTOR LUIS FELIPPE DE FRANCA RAMO,PARQUE PETROPOLIS,ROSEIRA,MAIRIPORA,MAIRIPORA,1,0
,RUA,R BURI,BURI,LARANJEIRAS,LARANJEIRAS,CAIEIRAS,CAIEIRAS,1,1
,,RUA PEQUIM,ANTONIO BELTRAME,PARQUE VITORIA,PQ VITORIA,FRANCO DA ROCHA,FRANCO DA ROCHA,0,1
,RUA,PERNAMBUCO,PERNAMBUCO,V ELIZA,VILA ELIZA,FRANCO DA ROCHA,FRANCO DA ROCHA,1,1
,,PARANAIBA,RUA PARANAIBA,SAO MIGUEL PAULISTA,JD HELENA,SAO PAULO,SAO PAULO,1,0
,RUA,JACAREANA,JACAREANA,ITAIM PAULISTA,JD CAMARGO NOVO,SAO PAULO,SAO PAULO,1,0
,,PROFESSOR FLAMINO FAVERO,FLAMINIO FAVEIRO PROF,J D MAIA,VILA SEABRA,SAO PAULO,SAO PAULO,1,0
,,RUA OSWALDO HAESER,R OSVALDO HAESER,JARDIM CELIA,JARDIM CELIA,SAO PAULO,SAO PAULO,1,1
,RUA,PROFESSOR BRITO MACHADO,R PROF. BRITO MACHADO,JD REDIL,ITAQUERA,SAO PAULO,SAO PAULO,1,0
,,CARUATAI,CARUATAI,VILA PROGRESSO,VL PROGRESSO,SAO PAULO,SAO PAULO,1,1
RUA,,ANTONIO FONTANA,ANTONIO FONTANA,,CONJUNTO RESIDENCIA,SAO PAULO,SAO PAULO,1,0
RUA,,ADOLFO APPIA,ADOLFO APPIA,JD CIBELE,JARDIM CIBELE,SAO PAULO,SAO PAULO,1,1
,,GEMEOS,GEMEOS,,CIDADE SATELITE SAN,SAO PAULO,SAO PAULO,1,0
RUA,OUTROS,GRAMANE,GRAMAME,J SAO CARLOS,JARDIM SAO CARLOS (,SAO PAULO,SAO PAULO,1,1
,,MIGUEL DE ARIZO,MIGUEL DE ARIZO,VILA CHABILANDIA,GUAIANAZES,SAO PAULO,SAO PAULO,1,0
,,CACHOEIRA JACIQUARA,R CACHOEIRA JACIQUARA,CJ INACIO MONTEIRO,CONJUNTO HABITACION,SAO PAULO,SAO PAULO,1,0
OUTROS,,IGARAPE DAS ESTRADAS,R IGARAPE DAS ESTRADAS,CONJUNTO HABITACION,CID TIRADENTES,SAO PAULO,SAO PAULO,1,0
,,SANTA DURVALINA,RUA DURVALINO,JARDIM SARA,JD SARA,FERRAZ DE VASCONCELOS,FERRAZ DE VASCONCELOS,1,1
,RUA,RUA ALBERTINA,ALBERTINA,JARDIM ANCHIETA,J ANCHIETA,FERRAZ DE VASCONCELOS,FERRAZ DE VASCONCELOS,1,1
,,R XINGU,LEONOR BARROS DE CARVALHO,V SANTO ANTONIO,JARDIM JULIO DE CAR,FERRAZ DE VASCONCELOS,FERRAZ DE VASCONCELOS,0,0
,RUA,R BARAO DE JUPARANA,R BARAO DE JUPARANA,JD MEDINA,JD MEDINA,POA,POA,1,1
RUA,,IGARATA,IGARATA,JARDIM SANTA HELEN,JD SANTA HELENA,ITAQUAQUECETUBA,ITAQUAQUECETUBA,1,1
,,BALTAZAR ANTONIO SARAIVA,RUA BALTAZAR ANTONIO SARAIVA,VILA VIRGINIA,VILA VIRGININIA,ITAQUAQUECETUBA,ITAQUAQUECETUBA,1,1
ESTRADA,,DO PINHEIRINHO,ESTRADA PINHEIRINHO,JARDIM DO VALE,JD DO VALE,ITAQUAQUECETUBA,ITAQUAQUECETUBA,1,1
,,HIYOYUKI KOYAMA,RUA HIYOUKI KOYAMA,VILA AMORIM,VILA AMORIM,SUZANO,SUZANO,1,1
RUA,RUA,ANTONIO INACIO,ANTONIO INACIO,JARDIM BRASIL,JD BRASIL,SUZANO,SUZANO,1,1
ESTRADA,ESTRADA,FAZENDA VIADUTO,EST FAZENDA VIADUTO,FAZENDA AYA,FAZENDA AYA,SUZANO,SUZANO,1,1
RUA,,EXPEDICIONARIO JOAO DE CARVALHO,EXPEDICIONARIO JOAO DE CARVALHO,JARDIM SANTA HELENA,JARDIM SANTA HELENA,SUZANO,SUZANO,1,1
RUA,RUA,MANOEL FELIX DA SILVA,MANOEL FELIX DA SILVA,JARDIM GRAZIELA,JD GRAZIELA,SUZANO,SUZANO,1,1
,,NAVAJAS,R DR RICARDO VILELA,CENTRO,CARMO,MOGI DAS CRUZES,MOGI DAS CRUZES,0,0
,,RUA JOSE CURI ANDERE,JOSE CURY ANDERE,ALTO DA IPIRANGA,ALTO IPIRANGA,MOGI DAS CRUZES,MOGI DAS CRUZES,1,1
,,R SANTA PAULA,R PADRE ORFEU MIATTO,JARDIM UNIVERSO,JD UNIVERSO,MOGI DAS CRUZES,MOGI DAS CRUZES,0,1
,RUA,MANOEL DE FREITAS GARCIA,R DOLORES DE AQUINO,JUNDIAPEBA,JUNDIAPEBA,MOGI DAS CRUZES,MOGI DAS CRUZES,0,1
,,R ENGENHEIRO FRANCISCO SALESSA,ENG FRANCISCO SALESSA,VILA NATAL,VL NATAL,MOGI DAS CRUZES,MOGI DAS CRUZES,1,1
,,R ADOLFO BASTOS,JOSE CABALLERO,VILA BASTOS,CENTRO,SANTO ANDRE,SANTO ANDRE,0,0
RUA,OUTROS,SAO CAMILO,SAO CAMILO,VILA CAMILOPOLIS,VILA CAMILOPOLIS,SANTO ANDRE,SANTO ANDRE,1,1
,RUA,R RODESIA,R RODESIA,PARQUE ORATORIO,PQ NOVO ORATORIO,SANTO ANDRE,SANTO ANDRE,1,1
,OUTROS,R IONACIO JOSE DE MORAIS,INACIO JOSE DE MORAIS,CAMPO VERDE,VILA EMILIO,MAUA,MAUA,1,0
,RUA,VENEZUELA,VENEZUELA,PARQUE DAS AMERICAS,PQ DAS AMERICAS,MAUA,MAUA,1,1
,RUA,MAL-ME-QUER,DO MAL ME QUER,JARDIM PRIMAVERA,JD PRIMAVERA,MAUA,MAUA,1,1
,,VIEIRA DE CARVALHO,VIEIRA DE CARVALHO,NOVA GERTY,NOVA GERTY,SAO CAETANO DO SUL,SAO CAETANO DO SUL,1,1
,,LAGO DA MANGUEIRA,RUA LAGO DA MANGUEIRA,JD DO LAGO,DOS CASA,SAO BERNARDO DO CAMPO,SAO BERNARDO DO CAMPO,1,0
,RUA,BELO (JD S JORGE),CAMPO BELO,COOPERATIVA,COOPERATIVA,SAO BERNARDO DO CAMPO,SAO BERNARDO DO CAMPO,0,1
RUA,,AUSTRALIA,AUSTRALIA,JARDIM STO INACIO,INDEPENDENCIA,SAO BERNARDO DO CAMPO,SAO BERNARDO DO CAMPO,1,0
,,SAO FRANCISCO DE ASSIS,SAO FRANCISCO DE ASSIS,CENTRO,CENTRO,DIADEMA,DIADEMA,1,1
,,BAEPENDY,R BAEPENDI,CAMPANARIO,SANTA TEREZINHA,DIADEMA,DIADEMA,1,1
AVENIDA,AVENIDA,DOUTOR RODRIGUES ALVES,CONSELHO RODRIGUES ALVES,MACUCO,ENCRUZILHADA,SANTOS,SANTOS,0,0
,,GOVERNADOR ROBERTO SILVEIRA,R GOVERNADOR ROBERTO DA SILVEIRA,RADIO CLUBE,RADIO CLUB,SANTOS,SANTOS,1,1
,,AVIADOR EDU CHAVES,AVIADOR EDU CHAVES,,JD REC S VICENTE,SAO VICENTE,SAO VICENTE,1,0
RUA,,SIMAO JAHJAH,SIMAO JAHJAH,PQ DAS BANDEIRAS,PRQ DAS BANDEIRAS,SAO VICENTE,SAO VICENTE,1,1
AVENIDA,,MARECHAL DEODORO DA FONSECA,AV MARECHAL DEODORO DA FONSECA,CENTRO,CENTRO,GUARUJA,GUARUJA,1,1
,,VIELA DOS OPERARIOS,DOS OPERARIOS,CACHOEIRA,CACHOEIRA,GUARUJA,GUARUJA,1,1
,AVENIDA,MARGINAL PIACAGUERA,PIASSAGUERA,VILA AUREA,,GUARUJA,GUARUJA,1,0
,,JOSE HERCULANO,AV JOSE HERCULANO,PORTO NOVO,PORTO NOVO,CARAGUATATUBA,CARAGUATATUBA,1,1
OUTROS,RUA,ARGENTINA,ARGENTINA,GUILHERMINA,VILA GUILHERMINA,PRAIA GRANDE,PRAIA GRANDE,1,1
RUA,,GEZIAEL PEREIRA DA SILVA,GEZIAEL PEREIRA DA SILVA,ESMERALDA,ESMERALDA,PRAIA GRANDE,PRAIA GRANDE,1,1
,,ANTONIA SAUDINO,DOS TRABALHADORES,JARDIM GUARAMAR,JD GUARAMAR,PRAIA GRANDE,PRAIA GRANDE,0,1
RUA,,R IRACY VIALTA TUAN,R IRACY VIALTA TUAN,BEL RECANTO,RESID BEL RECANTO,TAUBATE,TAUBATE,1,1
AVENIDA,,SAO JOSE,AV. SAO JOSE,JD BELA VISTA,CENTRO,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,0
,RUA,GENESIA BERARDINELLI TARANTINO,GENESIA BERARDINELLI TARANTINO,JARDIM PAULISTA,JARDIM PAULISTA,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,1
,,R SCHILER OLIVEIRA MELO,SCHILLER OLIVEIRA DE MELLO,RES DOM BOSCO,RESIDENCIAL DOM BOS,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,1
,,PLUTAO,RUA BENEDITO DAVI FILHO,JD DA GRANJA,GALO BRANCO,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,0
,AVENIDA,RUA JOSE GONCALVES CAMPOS,AV JOSE GONCALVES DE CAPOS,S LEOPOLDO PUTIM,JD SAO LEOPOLDO,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,0
,AVENIDA,SAO CRISTOVAO,SAO CRISTOVAO,SAO JUDAS TADEU,SAO JUDAS TDEU,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,1
RUA,,ITAMBE,ITAMBE,JD SATELITE,JARDIM SATELITE,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,1
RUA,RUA,RAPOSO TAVARES,R RAPOSO TAVARES,JD NOVA AMERICA,JD NOVA AMERICA,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,1
RUA,,SEBASTIAO PAULO SIQUEIRA,RODOLFO MAYER,JD SANTA INES III,JARDIM SANTA INES,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,0,0
,RUA,VICENTINA,VICENTINA,CENTRO,CENTRO,JACAREI,JACAREI,1,1
,,CARMINO SOLEO,CARMINO SOLEO,PQUE MEIA LUA,PARQUE MEIA LUA,JACAREI,JACAREI,1,1
RUA,,VEREADOR JOSE LEITAO XAVIER,RUA JOSE LEITAO XAVIER,BAIRRO DO UBERABA,UBERABA,BRAGANCA PAULISTA,BRAGANCA PAULISTA,1,1
,,DR GENESIO DO AMARAL,DR GENESIO DO AMARAL,JD ANCHIETA,JD ANCHIETA,BRAGANCA PAULISTA,BRAGANCA PAULISTA,1,1
,,DR GERALDO HENRIQUE DE SOUZA,R DR GERALDO H DE SOUZA,PQ DOS COQUEIROS,PQ COQUEIROS,ATIBAIA,ATIBAIA,1,1
,AVENIDA,SAO GABRIEL,VER FRANCISCO A RODRIGUES ALMENDRA,MARACANA,JD MARACANA,ATIBAIA,ATIBAIA,0,1
,RUA,BRASIL,BRASIL,JARDIM IMPERIAL,JARDIM IMPERIAL,ATIBAIA,ATIBAIA,1,1
RUA,,SALVADOR LOMBARDE,CESAR LADEIRA,VILA TEIXEIRA,VILA NOVA TEIXEIRA,CAMPINAS,CAMPINAS,0,0
,AVENIDA,FREI JOSE MONTE CARMELO,WASHINGTON LUIZ,PONTE PRETA,VL MARIETA,CAMPINAS,CAMPINAS,0,0
,RUA,ADVOGADO MARIO BATISTA DE CAMPOS,ADVOGADO MARIO BATISTA DE CAMPOAS,SWISS PARK,SWIS PARQUE,CAMPINAS,CAMPINAS,1,1
,RUA,INDAIATUBA,INDAIATUBA,JD N C ELISEOS,N CAMPOS ELISEOS,CAMPINAS,CAMPINAS,1,1
,RUA,R ALCIDES TURATO,EXP ALCIDES TURATO,JD SAO DOMINGOS,JD SAO DOMINGOS,CAMPINAS,CAMPINAS,1,1
RUA,,GLENIO FERNANDES DE SA,GLENIO FERNANDES DE SA,RESIDENCIAL COSMOS,CJ RES COS I,CAMPINAS,CAMPINAS,1,1
,,R PAPA SAO MARCOS,R PAPA SAO MARCOS,VL PE ANCHIETA,PADRE ANCHIETA,CAMPINAS,CAMPINAS,1,1
RUA,RUA,TIJUCA,DA TIJUCA,SOUZAS,SAN CONRADO,CAMPINAS,CAMPINAS,1,0
,,LOURENCO DAL PORTO,LOURENCO DALPORTO,JD ATIBAIA,JD ATIBAIA,CAMPINAS,CAMPINAS,1,1
,RUA,SHIRLEI RAMOS MAIA DE SOUZA (PARQUE DOS,SHIRLEI RAMOS MAIA DE SOUZA,PARQUE BOM RETIRO,PQ DOS SERVIDORES,PAULINIA,PAULINIA,1,0
,,R TRES,R UM,NOVA VENEZA,JD CONCECAICAO II,SUMARE,SUMARE,0,0
,RUA,SAO COSME,SAO COSME,JD STA TEREZINHA,VL SAN MARTIN,SUMARE,SUMARE,1,0
,,R ANGELO LOTIERZO,ANGELO LOTIERZO,PQ BRASILIA,PARQUE BRASILIA,JUNDIAI,JUNDIAI,1,1
,RUA,SEBASTIAO PINHEIRO,SEBASTIAO PINHEIRO,SAO JOSE II,SAOJOSE II,CAMPO LIMPO PAULISTA,CAMPO LIMPO PAULISTA,1,1
